assemblydist,borough,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
78,X,207,13,11,Botanical Square Community Garden,MTA,"MULTIPOLYGON (((-73.88217370142452 40.867325030293394, -73.88216147181667 40.86721119770182, -73.88196655975776 40.867317000540034, -73.88204180311763 40.86739688338548, -73.88210318023297 40.867363566759025, -73.88216191783624 40.86733168278495, -73.88216559634981 40.86732960550965, -73.88217370142452 40.867325030293394)))",,,,,,,,XGT084,52,34,Not GreenThumb,"10,458"
82,X,210,14,13,NYCHA - Throggs Neck - Love Community Garden,NYCHA,"MULTIPOLYGON (((-73.82293873721201 40.81895142974712, -73.8227293163849 40.819016224801196, -73.82273774345047 40.81903160565968, -73.82285227372604 40.8190001426684, -73.82290073525387 40.81908956004391, -73.82303069577605 40.81904401426944, -73.82298825323068 40.818964847554895, -73.8229726016612 40.81895386356198, -73.82293873721201 40.81895142974712)))",,,,,,,,XGT083,45,34,Active,"10,465"
84,X,201,15,8,NYCHA - Moore - El Jardín de Los Amigos de Moore,NYCHA,"MULTIPOLYGON (((-73.90952703795728 40.812338412220264, -73.90944897217874 40.812555641064385, -73.90956058425523 40.81257478950732, -73.90963535606951 40.81237757157171, -73.90964228248136 40.812356609808205, -73.9096374049027 40.8123499350973, -73.90953331658378 40.812333651712365, -73.90952703795728 40.812338412220264)))",,,,,,,,XGT082,40,29,Active,"10,455"
79,X,203,15,16,NYCHA - McKinley - Joyful Garden,NYCHA,"MULTIPOLYGON (((-73.90487875470596 40.82151391742412, -73.90481344544531 40.82167528293963, -73.90481263686863 40.821691959468, -73.9048196767287 40.82170447407643, -73.90497565047042 40.82174510614979, -73.90498976446406 40.82174452255173, -73.90500388474504 40.821740364886445, -73.90501409143813 40.8217308424394, -73.90508331776111 40.821571267522096, -73.9050731629346 40.821544454982444, -73.90490620757632 40.82150679192561, -73.90487875470596 40.82151391742412)))",,,,,,,,XGT081,42,32,Active,"10,456"
80,X,211,14,13,NYCHA - Pelham - Pelham Organics,NYCHA,"MULTIPOLYGON (((-73.85842834743455 40.86144987827762, -73.85861196469891 40.861434378156524, -73.85860283338226 40.86130142116888, -73.85842301916011 40.86129905569679, -73.85842834743455 40.86144987827762)))",,,,,,,,XGT080,49,34,Active,"10,469"
87,X,209,15,18,Adlai E. Stevenson High School-Ecological Garden,DOE,"MULTIPOLYGON (((-73.85482157523771 40.820393471035935, -73.8552569741635 40.82228454761407, -73.85704237451645 40.82204351730985, -73.8566024961352 40.82015053733679, -73.85482157523771 40.820393471035935)))",,,,,,,,XGT056,43,32,Not GreenThumb,"10,473"
86,X,205,15,14,Linden Bushwick - Calvary Methodist Church,PRI,"MULTIPOLYGON (((-73.91335412401651 40.852728572162945, -73.91366359074065 40.85291529960438, -73.91372587526865 40.85285748871026, -73.9137903551235 40.8527976407094, -73.91385282940904 40.85273965339114, -73.91391730785061 40.852679804416745, -73.91398180992039 40.852619935612545, -73.91404161113493 40.85256442885302, -73.91409281224371 40.85251690662163, -73.91378334498343 40.85233017941726, -73.91335412401651 40.852728572162945)))",,,,,,,,XGT049,46,29,Not GreenThumb,"10,453"
79,X,203,15,17,People's Garden,PRI,"MULTIPOLYGON (((-73.8980398687639 40.82871869653926, -73.89839089766245 40.82880304420789, -73.89842581540172 40.82871931357391, -73.89807441241811 40.828634876530344, -73.8980398687639 40.82871869653926)))",,,,,,,,XGT044,42,32,Inactive (No Group),"10,459"
81,X,208,13,14,Kingsbridge Heights Community Garden,PRI,"MULTIPOLYGON (((-73.90140059439999 40.87750678865042, -73.90126029414523 40.8774336760544, -73.90109163521333 40.87760294310963, -73.90109605342045 40.87760524494102, -73.90118019263048 40.87764908973013, -73.90123737454154 40.87767888809475, -73.9012571230501 40.87765809381938, -73.90138478463034 40.877523665592534, -73.90140059439999 40.87750678865042)))",,,,,,,,XGT041,50,33,Active,"10,463"
84,X,202,15,17,The William Rainey Garden,BLT,"MULTIPOLYGON (((-73.90123466478813 40.81522155441891, -73.90108680806523 40.814903837489794, -73.90097952039822 40.81493428757494, -73.90111899483652 40.815250960979434, -73.90123466478813 40.81522155441891)))",,,,,,,,XGT040,41,32,Active,"10,455"
84,X,204,15,17,New Roots Community Farm,DOT,"MULTIPOLYGON (((-73.925198070723 40.821313534360556, -73.92519926236925 40.821311118201265, -73.92520120584972 40.82130737429752, -73.92520256002652 40.82130483847762, -73.92520627426306 40.82129704709065, -73.92520930473613 40.821290134144526, -73.92521175638076 40.821281436939536, -73.9252131535008 40.82127338650748, -73.92521381099561 40.82126529327233, -73.92521373594231 40.82125718875612, -73.92521291171147 40.8212491035649, -73.9252113678942 40.821241076439236, -73.92520898272842 40.821232812837756, -73.92520705905596 40.82122737259179, -73.92520193745064 40.8212154250854, -73.9251960361764 40.82120426140534, -73.92518493735982 40.82118754819546, -73.92517166116706 40.821171759281754, -73.92516205023547 40.82116221768801, -73.92515160540366 40.82115319784007, -73.92513380860566 40.82114022724272, -73.92511438030228 40.821128702680795, -73.92510113643367 40.82112213396262, -73.92508701831251 40.821116131087216, -73.925067295067 40.821108639649104, -73.92504965008868 40.821102979367254, -73.9250283311703 40.82109774533031, -73.92502464660214 40.821097081069745, -73.9250204250028 40.82109646868865, -73.92501707419451 40.82109626119658, -73.92501329552773 40.82109600029684, -73.92499076759074 40.82109492485963, -73.92497092182062 40.821094139322184, -73.92474523871806 40.821084049872916, -73.9247272073368 40.821083634681166, -73.92472190624822 40.821083734777595, -73.92471789096344 40.82108412027016, -73.9247132454803 40.821085183424906, -73.92470898521458 40.821086271144395, -73.92469943498428 40.8210891509992, -73.92469568062108 40.821090459670216, -73.92468653968359 40.821094085402294, -73.92468298650657 40.82109568236313, -73.92467493088603 40.82109973293703, -73.92466306790438 40.82110688053151, -73.9246563212238 40.82111171899311, -73.92465001628139 40.82111691433956, -73.924640960667 40.8211257891174, -73.92463835991323 40.82112897337397, -73.9246261142189 40.82114643500048, -73.92449210254527 40.821373754181565, -73.92476413284437 40.82146628149921, -73.92475674919191 40.82147880798877, -73.92506679742039 40.8215842671066, -73.92510681243738 40.821500904439446, -73.92514857513925 40.82141389948352, -73.925198070723 40.821313534360556)))",,,,,,,,XGT039,44,29,Active,"10,451"
79,X,203,15,17,Steppin Up Community Garden,PRI,"MULTIPOLYGON (((-73.89513428306847 40.82979385626819, -73.89498973844852 40.82971459910741, -73.89492657113941 40.829788297551474, -73.89507436125866 40.82986339835489, -73.89513428306847 40.82979385626819)))",,,,,,,,XGT038,42,32,Not GreenThumb,"10,459"
83,X,212,16,12,211th Street Community Garden,NYRP,"MULTIPOLYGON (((-73.86374758935008 40.87798001486763, -73.86392845590112 40.87756335620064, -73.86354783415149 40.877555660571126, -73.86340214345876 40.877894593215274, -73.86374758935008 40.87798001486763)))",,,,,,,,XGT037,47,36,Active,"10,467"
