the_geom,ParkNumber,ParkName,IniPlntSn,DatColMthd,Acres
"MULTIPOLYGON (((-74.13889131829352 40.59113586871803, -74.13889222544296 40.59113242221603, -74.13890510750139 40.59112508718397, -74.13891431677477 40.59112108492793, -74.13893206182232 40.59111186732141, -74.1389447326448 40.59110236858067, -74.13896116479222 40.59108610865698, -74.13894267522967 40.59108098181813, -74.1389570287385 40.59100475580136, -74.13895850083965 40.59100031893952, -74.13897819125947 40.59099385817924, -74.13900516685281 40.59098748495902, -74.13902015537482 40.59097574020028, -74.13902501124004 40.590952850204566, -74.13903083047943 40.590939340704075, -74.13903405564405 40.5909264133791, -74.13903634906379 40.590919299164526, -74.13904891582989 40.59091317930477, -74.13904507789783 40.59091831603633, -74.13903901804659 40.59094051138459, -74.13904588022652 40.59095643965779, -74.13905881457784 40.59096402983298, -74.13907020778537 40.59096388636916, -74.13909728767506 40.590958255032916, -74.13912421242229 40.5909558387495, -74.1391560419387 40.590957424753284, -74.13917528109006 40.59095777246855, -74.13922130424892 40.590994154627005, -74.13922082410541 40.59099049547846, -74.13922410009128 40.59100536006421, -74.1392254925633 40.59102619650683, -74.13923445483826 40.591052184681395, -74.13923968182208 40.59106964401433, -74.13924496357838 40.59109184183889, -74.139264446204 40.59111319036875, -74.1392867454524 40.591099059330965, -74.13934542099399 40.591053652202284, -74.13934811291864 40.591053541775445, -74.1393584095123 40.59104415303055, -74.13938205380265 40.591059824991994, -74.13941575139091 40.591055944277095, -74.13941145629951 40.591082572585286, -74.13940910671276 40.59109784832613, -74.13938712004735 40.59110608777931, -74.13936455188393 40.59111475027939, -74.13934686134239 40.591110999437916, -74.13931033553219 40.59113121276639, -74.13929072577449 40.59114066952966, -74.13927581175626 40.59114621862683, -74.13923546606998 40.59115871906906, -74.1392220745607 40.591172688016506, -74.13919467818965 40.59118577340392, -74.13919392872599 40.59119458864239, -74.13921465681548 40.591229713691654, -74.13922335599624 40.59124621876536, -74.13923162374783 40.59123993569642, -74.1392569706386 40.591262558567486, -74.13923079963322 40.59126223637502, -74.13919717861715 40.591250202879564, -74.13916452606135 40.59123920200308, -74.13913562734724 40.59122521673761, -74.13910943118164 40.591208840003084, -74.1391142838385 40.59119859246688, -74.1391042294042 40.59118248795776, -74.139077042255 40.591165589210895, -74.13905183093782 40.591165479240395, -74.13901794509461 40.59116805521663, -74.13898637951625 40.59116562596465, -74.13895289253387 40.591157785076135, -74.13892090995829 40.59114967310232, -74.13890638980176 40.591156610283655, -74.13889131829352 40.59113586871803)))",R129,Blood Root Valley,2007 Fall,GPS,0.17243862
"MULTIPOLYGON (((-74.13955867425626 40.59141939974375, -74.13955984633007 40.59140537896007, -74.13956313006268 40.59140299128438, -74.13958514435623 40.59140397673382, -74.13960574103857 40.59139419813496, -74.13962780734167 40.591409889072594, -74.13964981738981 40.59141957537927, -74.13965822282394 40.591429993233575, -74.13972206863504 40.591451630858266, -74.13973831620261 40.5914668902945, -74.13975650898541 40.59147124111446, -74.13977340057326 40.591480388805515, -74.13979234637699 40.59148499265167, -74.1398149655294 40.59149726449109, -74.13983212501023 40.5914972544173, -74.13985008071754 40.59150402882152, -74.13986741927694 40.591512249315336, -74.13988815601007 40.59151970562736, -74.13990629997794 40.59152499032665, -74.13991947544581 40.59153141663405, -74.13995237406868 40.591543023949555, -74.1399828129868 40.591564088855236, -74.1399928225649 40.591575572752475, -74.14000584162301 40.59158457924217, -74.14001235211244 40.591594892216904, -74.14001485821461 40.59161544632867, -74.14001205814445 40.591637794446235, -74.14000389388806 40.591651171774224, -74.14000367669811 40.59169181989779, -74.13999274205278 40.59170621278942, -74.13999084969814 40.59171808760517, -74.13998225315373 40.591743337968445, -74.13998849508583 40.59176303293202, -74.13998697482481 40.591779972742586, -74.1399936194872 40.591790605240796, -74.14001776782632 40.59180365142887, -74.14003223005001 40.591818648244576, -74.1400509343603 40.59183084105928, -74.14007363960913 40.5918452208696, -74.14009292312896 40.59185251592118, -74.1401117379571 40.59186838993385, -74.1401303583893 40.59187606310726, -74.14014167422214 40.59188851166068, -74.14015890571828 40.591908693902994, -74.14017403349003 40.59191038464496, -74.14018697497696 40.59192066184814, -74.14018828209608 40.591932200470175, -74.14020282306335 40.59194584818312, -74.14022155198492 40.591952290192864, -74.1402483907886 40.591968402035484, -74.14026549459295 40.591973884261755, -74.14029382677657 40.59197771742543, -74.14031053070308 40.5919924701286, -74.14031840357853 40.59200178003929, -74.14032440889045 40.592017310349156, -74.14032565806973 40.59203611807103, -74.14031394662553 40.59204230996767, -74.1402879030653 40.59206456309915, -74.1402834786837 40.59208518239817, -74.1402695003338 40.59210095052959, -74.1402580010125 40.59211702991632, -74.14025591638179 40.59213576876547, -74.1402561036631 40.5921371958676, -74.14023577013785 40.592170532872224, -74.14022318072486 40.59218730608873, -74.14020792235702 40.59220390155506, -74.14019839615474 40.592218467448646, -74.1401861440759 40.59223106271809, -74.14017235467902 40.59225245708148, -74.14015824295045 40.592271120546705, -74.14014073673218 40.59228838243188, -74.1401274533848 40.59230493675608, -74.14011737901517 40.59231837315351, -74.14008713537949 40.592324132858145, -74.14007884076558 40.59232833580999, -74.14005666930049 40.59232916160036, -74.14005410432205 40.59231603868746, -74.14001424817502 40.59232340041391, -74.13998748690696 40.592319521141825, -74.13996045738804 40.59231785027533, -74.13994263678595 40.592322667270224, -74.13991262101919 40.59232442922493, -74.13991117871323 40.59232277311621, -74.1398711044329 40.59230721672049, -74.1398548841844 40.59230116512956, -74.13982913984869 40.59228647469176, -74.13981522208907 40.592274832541406, -74.13981646137596 40.59227149189019, -74.13983255185056 40.59224998760722, -74.1398407681788 40.59221573247824, -74.13986371339581 40.59220025696219, -74.1398907377419 40.59221019646995, -74.13992262503625 40.592221585296976, -74.13995754930033 40.59223570350684, -74.13999412948723 40.59225193862193, -74.14003662876526 40.59227414689268, -74.14006613785796 40.592283712315165, -74.14009602429053 40.5922833778087, -74.14010666357805 40.59226837291184, -74.14012361068195 40.592241369843876, -74.14013844457921 40.59221500962315, -74.14015237241681 40.59219315942975, -74.140160776363 40.59217464430954, -74.14017902148227 40.592154300826685, -74.14019241796215 40.59212863395479, -74.14020666272664 40.59210302277918, -74.1402192031256 40.59208035299224, -74.14024319378795 40.592067748796275, -74.1402557065204 40.59203922743329, -74.14027011019354 40.59201899038356, -74.14026682939291 40.59199859391493, -74.14023788257585 40.59198278272279, -74.14020847637755 40.59197266069478, -74.14014991788653 40.59193717133362, -74.14012518244779 40.59192529026698, -74.14009812532196 40.59192108449125, -74.14007422672624 40.591907172612004, -74.14004978210218 40.5919004511779, -74.14001899284013 40.591888723351516, -74.13999450047127 40.591876689771986, -74.13996857250868 40.591865630502, -74.1399471472661 40.59186057493992, -74.13991515375533 40.59184069700792, -74.13988423461647 40.591816006258625, -74.13986814594739 40.591788684129206, -74.1398793193634 40.59176870320665, -74.13988193652057 40.59176108338762, -74.13989426397299 40.59174275352048, -74.13990349732414 40.59172203922916, -74.13991475601007 40.59169991675281, -74.1399250028162 40.5916774695177, -74.13993810150832 40.5916573907892, -74.13995381429203 40.59163951245792, -74.13996085957348 40.59161979500536, -74.13996758248257 40.59160126483581, -74.13997585031055 40.591584323109565, -74.13996088362501 40.591574909250184, -74.13993561963647 40.5915638320539, -74.13991501953811 40.59154435628818, -74.13987924394651 40.591552803534974, -74.13986171492161 40.59154558465763, -74.13983861045153 40.59153736667729, -74.13981205903038 40.59152466647501, -74.1397815086774 40.591514101771295, -74.13975346806042 40.59150497844792, -74.13972374582077 40.59149215870975, -74.1396978124698 40.59148181890383, -74.13967092249045 40.591469321698476, -74.13964007774334 40.591459178760296, -74.13961873611248 40.59144770950236, -74.13958645167597 40.59143714055009, -74.13958567305757 40.59142802909193, -74.13956204059296 40.59142149207544, -74.13955867425626 40.59141939974375)))",R129,Blood Root Valley,2007 Fall,GPS,0.20859011
"MULTIPOLYGON (((-74.13844522356464 40.59179068286741, -74.13842248586313 40.59176445818111, -74.13840650851157 40.59175122261228, -74.13838737835452 40.59171807394636, -74.13836859407398 40.59168137769621, -74.13835100970657 40.59164339314919, -74.1383335069125 40.59162367743407, -74.13829015503694 40.59163080143112, -74.13823668298126 40.59164363700404, -74.13818196319299 40.59165920083954, -74.13813705897672 40.59167199904688, -74.13808847696383 40.5916851771749, -74.13804250585802 40.591699050052036, -74.1379904250958 40.591714087421316, -74.13793837232643 40.591728962638925, -74.13788756861385 40.591741193295896, -74.13783924964159 40.59175709238652, -74.13778642204699 40.59176804488111, -74.13774194678552 40.59178785660161, -74.1377189769049 40.59179555209605, -74.13773498901381 40.591832572361085, -74.13775341819209 40.591869071924854, -74.13776860457374 40.59190607606488, -74.13778183413432 40.591927904215645, -74.1377787143753 40.591945683401306, -74.13776337400297 40.59196230655731, -74.1377421398249 40.5919564632972, -74.13773842951288 40.59193821592252, -74.13774165623751 40.59191559179013, -74.13773354192489 40.5918927110946, -74.13772673981035 40.591880026360506, -74.1377166529372 40.59186984631819, -74.1377045423199 40.591854424948394, -74.13769779683204 40.59183367865302, -74.13767959286126 40.59180669554908, -74.13768170284163 40.59178214473404, -74.13770593152245 40.591755892439416, -74.13773298194623 40.59174607312333, -74.13775467908508 40.59173299942085, -74.13777455556561 40.591713498155, -74.1377951483844 40.59171884689, -74.13782268509597 40.59171628429341, -74.13785697171315 40.59171141455449, -74.1378807118126 40.59168829933434, -74.13790819786935 40.59167551672983, -74.13791425537553 40.5916697028803, -74.13797107860717 40.59165503086725, -74.1380113414571 40.59165877642476, -74.13804397555782 40.59165341422696, -74.13807982798954 40.59164999778733, -74.13810205607153 40.59163723316131, -74.13812198926125 40.59163036251821, -74.13814346043124 40.59161889194656, -74.13816702332575 40.59160953778905, -74.13820114979245 40.591605521836705, -74.13822569667292 40.591601293167535, -74.1382581378232 40.59160660055074, -74.13828127027307 40.59159247410982, -74.13828364459562 40.59157075601375, -74.13827249317949 40.591548520183395, -74.13822438699884 40.59149247720827, -74.13822259574765 40.59146431637119, -74.1381959184076 40.591454539048605, -74.13819626333938 40.591446544680984, -74.13823918936161 40.59142264176518, -74.13823857929266 40.59142010752366, -74.13828385506011 40.59140542042987, -74.13826146884693 40.59138797089574, -74.13828068278865 40.591379509864126, -74.13830637224127 40.59137887199338, -74.13833457283954 40.59138037794338, -74.13836837742376 40.59138469938116, -74.13838689912504 40.591401895098215, -74.13841563004442 40.59140620642291, -74.13843812569161 40.591397786438066, -74.13845914626424 40.59140720490796, -74.13848686496269 40.591453165775576, -74.13849100549935 40.5914298597232, -74.13851557853378 40.59144568293147, -74.13853118767882 40.59143406086099, -74.13855231777032 40.59145013495571, -74.138551808692 40.59147863085494, -74.13854871498818 40.591501457468915, -74.13856016214989 40.59152385591091, -74.13854062571832 40.59154427904006, -74.13853379795367 40.591558576788735, -74.13854964718267 40.59156302067748, -74.13852093923116 40.5916017084853, -74.13850946769504 40.591621093488, -74.13850471688592 40.59164120611714, -74.13851504014595 40.59165197564896, -74.1385132271159 40.59167374350248, -74.13852091339909 40.59169631577995, -74.13851907413495 40.59170885329288, -74.13850786620522 40.59174143155626, -74.13849012530564 40.59175617560798, -74.13847950817286 40.591770606694986, -74.13846429786327 40.591786044698615, -74.13844804789724 40.59178718813256, -74.13844522356464 40.59179068286741)))",R129,Blood Root Valley,2007 Fall,GPS,0.2767384
"MULTIPOLYGON (((-74.13759971382983 40.59196232344614, -74.13761724220551 40.591980184161976, -74.13761001347608 40.5919828907891, -74.13757850697496 40.59199152311724, -74.13754609131924 40.59199521624983, -74.13750972381482 40.59199585592269, -74.13748584518102 40.59199540631688, -74.13745390776008 40.59199900879891, -74.13742341225058 40.59200812885967, -74.13736612440702 40.59203718702837, -74.13733605604777 40.59205642574425, -74.13730681592656 40.59206655015896, -74.13725407322544 40.59209712652708, -74.13722032170307 40.592104395343334, -74.13719062236675 40.59211641587992, -74.13716554145532 40.592133956511574, -74.13715340220554 40.59211490870796, -74.13714446847929 40.59211342450075, -74.13709969687586 40.59214042610928, -74.13709420350322 40.59210460801515, -74.13709524195531 40.592100621056694, -74.13711584187281 40.592077178349435, -74.13712717703314 40.59205270028593, -74.13713285835482 40.592018392544226, -74.13711898822038 40.591993443867096, -74.13709430684003 40.59197196609971, -74.13707200356089 40.591973566822816, -74.1370367043989 40.59196290619604, -74.13699849497884 40.591957077638234, -74.13696266189291 40.5919596661354, -74.13693456709252 40.59197068421126, -74.1368900971265 40.59196503147574, -74.13686904398632 40.591961025808395, -74.13683740107807 40.59195386290345, -74.13681512261442 40.591909918641676, -74.13683000737187 40.591904319470196, -74.13679318738755 40.59188242834272, -74.13681917748734 40.5918698729112, -74.13686074340778 40.591854612660164, -74.1368987359754 40.591854960932565, -74.13693147665073 40.59186230802042, -74.13695930082471 40.591892152448345, -74.13699321700379 40.59188975084491, -74.13701637248047 40.5919079705564, -74.13703196826808 40.591908080734115, -74.13706730971401 40.59189964569886, -74.13710073616046 40.59191417720211, -74.1371332321073 40.591927730035934, -74.13715818128325 40.591943282927495, -74.13719569589163 40.59194785873227, -74.137220533255 40.591938306933535, -74.13722640601331 40.59191785532216, -74.13723867829005 40.591901049493764, -74.13727506581344 40.59188833565582, -74.13729494101635 40.59188593362634, -74.13729136647133 40.591861838972164, -74.13729504870675 40.5918377644643, -74.13731442085924 40.59178777843898, -74.137323330777 40.59177827896905, -74.13734121001376 40.59177667808167, -74.1373785874674 40.591776065170826, -74.13738403350817 40.59180317073864, -74.13741364722132 40.59182080901494, -74.13744059637406 40.59183005218294, -74.1374707143747 40.59182007166795, -74.13749910634945 40.591821499248596, -74.13753645398774 40.59181328139614, -74.13756191024785 40.59182092969333, -74.13758754978035 40.59184585792228, -74.13761057601266 40.59183740324492, -74.13762540605521 40.591859174565094, -74.13762140842766 40.591883772665824, -74.13760836054527 40.59191052305104, -74.13760470186189 40.59193508202267, -74.13761035905898 40.59194995460748, -74.13759971382983 40.59196232344614)))",R129,Blood Root Valley,2007 Fall,GPS,0.28185385
"MULTIPOLYGON (((-74.13762094960033 40.59201193400204, -74.13762335100428 40.592031903849495, -74.13761871452196 40.59203254517233, -74.13759512321326 40.59204656486602, -74.13755700098777 40.59206877510701, -74.13752831509507 40.592072098156855, -74.13747357032753 40.59208266467558, -74.13744993195611 40.59210598230667, -74.13741390929185 40.59211291710036, -74.13737834697683 40.592121402935376, -74.1373309335663 40.59213667666544, -74.13731340670385 40.59213734328654, -74.13727541391596 40.59214731065444, -74.13724691637161 40.592152634373406, -74.13720588767558 40.592163785931355, -74.13717111817004 40.59217409701827, -74.13718478419361 40.59215716616056, -74.13722395013053 40.59214034533412, -74.13727928114047 40.59212012101407, -74.13729801560415 40.59211903060949, -74.13734185130885 40.59209939362743, -74.13738120391972 40.59208377022107, -74.13743381491938 40.59206385255489, -74.13745951287305 40.59204597973345, -74.13749731373663 40.59203922740506, -74.13753264385535 40.592032743676015, -74.13756548627165 40.59202460414898, -74.1375901928341 40.59202267446276, -74.13761300019578 40.59201861640571, -74.13762094960033 40.59201193400204)))",R129,Blood Root Valley,2007 Fall,GPS,0.03291126
"MULTIPOLYGON (((-73.86959455400273 40.87684324417416, -73.86958739475655 40.87698937994243, -73.86930514612052 40.87714564296478, -73.8690640577091 40.877354149704715, -73.86898857011073 40.877275772880544, -73.86902312946735 40.87718708249097, -73.86919533247817 40.87704112854088, -73.86959455400273 40.87684324417416)))",X004,Bronx River Parkway,2007 Fall,Drawing,0.22647395
"MULTIPOLYGON (((-74.13678743101472 40.59221119491789, -74.13674756620303 40.59219658723717, -74.13674444292097 40.59220528731469, -74.13670450232559 40.59222232232324, -74.13666557767054 40.59224514647913, -74.13664009691642 40.59227289581176, -74.13661224495408 40.592297612291176, -74.13656264343356 40.59230709793542, -74.1365243580565 40.592321973258315, -74.13648041741894 40.592330339093465, -74.13643967160019 40.59234245090051, -74.13640627092703 40.59233363119883, -74.13640859416947 40.59230163192153, -74.1364347645623 40.59228700785999, -74.13644845268963 40.59225882321512, -74.1364806859928 40.59224846943273, -74.13650544208811 40.59224933334666, -74.13655183717447 40.59224430913141, -74.13657726756252 40.59222830901534, -74.13660898649064 40.592200979128954, -74.13662641288724 40.59218699488467, -74.13664916813595 40.592179351194325, -74.1366849229856 40.592189263963, -74.13671443361295 40.592174444953166, -74.13674978484877 40.59216724102069, -74.13677382008431 40.5921726038523, -74.13678056809533 40.592190668437354, -74.1367861188083 40.592207845629964, -74.13678743101472 40.59221119491789)))",R129,Blood Root Valley,2007 Fall,GPS,0.05641821
"MULTIPOLYGON (((-74.13679583485059 40.592231381867116, -74.13679964424274 40.592258900048535, -74.13679575354233 40.59226377291329, -74.13675999762957 40.59228220867726, -74.13671941650158 40.592292212260865, -74.13667790662754 40.59230268340629, -74.13662886663074 40.59230543429243, -74.13664405063935 40.59229823816044, -74.13667614297692 40.59228423646803, -74.13670028912571 40.59226412786055, -74.13672750150812 40.59224727099401, -74.13675605358151 40.592232193763145, -74.13677795602793 40.59222979031118, -74.13679583485059 40.592231381867116)))",R129,Blood Root Valley,2007 Fall,GPS,0.01213092
"MULTIPOLYGON (((-73.83460306624107 40.80576220265748, -73.83460184004784 40.80576729412592, -73.8345768442403 40.80576097367193, -73.83455740097098 40.805743548111316, -73.83457764566677 40.80570315462082, -73.83457985625795 40.80568011129756, -73.83457360670732 40.80564074778013, -73.83455032453857 40.80562634689154, -73.83453794733776 40.805608728855596, -73.8345253917676 40.80558563642289, -73.83452771949918 40.8055660097652, -73.83453732511242 40.805540576323715, -73.83454564954586 40.805516130692055, -73.83452376301284 40.80544947668716, -73.83453010711415 40.80544745066337, -73.83456562481933 40.805393386991994, -73.83456745947683 40.80539333289331, -73.83459306944033 40.80538184054022, -73.83462709512833 40.80539833158513, -73.83472199705493 40.80544760256596, -73.83476055414064 40.805459507517845, -73.83478473621183 40.80545081813309, -73.83482292284111 40.80546014800369, -73.83486774144724 40.80547943608546, -73.83491210324502 40.80550421114234, -73.83494614561067 40.805520246463445, -73.83497665007319 40.80553071162021, -73.83498054420662 40.80556516401978, -73.8349300200991 40.805564181280566, -73.8348887982884 40.805573992628375, -73.83486088387697 40.80559575735084, -73.83482287361461 40.80561083489676, -73.83478767041886 40.80563085209331, -73.83475766631447 40.805657037952145, -73.83473346812313 40.805689848099675, -73.83469760341382 40.805708020996825, -73.83467114334654 40.805736802653016, -73.83463404602409 40.80573878457457, -73.83461839776335 40.80575747451571, -73.83460306624107 40.80576220265748)))",X126,Ferry Point Park,2007 Fall,GPS,0.20712408
"MULTIPOLYGON (((-73.83412231086963 40.805550042096264, -73.83412340734029 40.805558498468294, -73.83408740691976 40.80555072847691, -73.83407175937003 40.805536287150204, -73.83406114254711 40.80549237609615, -73.83406533436347 40.805442881645135, -73.83406309279728 40.805410303731584, -73.83408177159001 40.805386788844906, -73.83410321958156 40.805373874123795, -73.83410360359946 40.80537433032942, -73.83410359819915 40.80537364414062, -73.83410321958156 40.805373874123795, -73.83408731739789 40.80535510462926, -73.83409556191266 40.80532997273313, -73.8341298143254 40.805314867506965, -73.83418033982264 40.80531188209557, -73.83422998726064 40.80531456764909, -73.83432141692325 40.8053374646262, -73.83433306943357 40.80532528319914, -73.83433544500646 40.80528931073695, -73.83438342361406 40.805305417579866, -73.8344713380661 40.805335094655476, -73.83451308751481 40.8053542154783, -73.83453556244424 40.805374849378076, -73.83450184195215 40.805384334567215, -73.83447471038099 40.80538626860931, -73.83444957719583 40.805399032226305, -73.8343799254767 40.80541771841231, -73.83436502500031 40.80543927118329, -73.83434747793761 40.80544521538497, -73.83432804475554 40.80542998791957, -73.83430834824982 40.805413905497836, -73.83427255751783 40.80539904802992, -73.83426379562422 40.80539115966054, -73.83423679145945 40.805386186094275, -73.83421226326594 40.80540297486404, -73.83418835600942 40.805414070660184, -73.8341837135876 40.80545752661512, -73.83417588222451 40.805482844614325, -73.8341543430107 40.80550239770344, -73.83412286966627 40.805548367970374, -73.83412231086963 40.805550042096264)))",X126,Ferry Point Park,2007 Fall,GPS,0.11923555
