Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Status,Cool Streets
Jamaica,Queens,107th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,108th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,109th Avenue,159th Street,160th Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
South Richmond Hill,Queens,120th Street,94th Avenue,101st Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Baisley Pond Park,Queens,122nd Avenue,Lakeview Boulevard East,Lakeview Lane,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Baisley Pond Park,Queens,155th Street,119th Avenue,125th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica,Queens,159th Street,108th Avenue,109th Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Jamaica Hills,Queens,165th Street,Chapin Parkway,85th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Plaut Triangle,Queens,169th Street,Northern Boulevard,43rd Avenue,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Carroll Gardens,Brooklyn,1st Place,Smith Street,Henry Street,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Friends of Diversity Plaza,Queens,37th Road,75th Street,74th Street,Temporary Full Closure,2020-08-14T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Inactive,
Sunset Park,Brooklyn,21st Street,3rd Avenue,7th Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,40th Street,41st Street,Temporary Full Closure,2020-07-17T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",inactive,
Sunset Park Business Improvement District,Brooklyn,5th Avenue,45th Street,47th Street,Temporary Full Closure,2020-07-31T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,9th Street,5th Street,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,inactive,
31st Ave Open Street Collective,Queens,31st Avenue,33rd Street,35th Street,Temporary Full Closure,2020-07-24T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,11:00PM,12:00PM,11:00PM,"S,U",Active,
Central Astoria Local Development Corportation,Queens,32nd Street,30th Avenue,Newtown Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,"F,S,U",Inactive,
34th Ave Open Streets Coalition,Queens,34th Avenue,69th Street,78th Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
34th Ave Open Streets Coalition,Queens,34th Avenue,78th Street,Junction Boulevard,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Fresh Air Fund,Queens,34th Avenue,72nd Street,74th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Queens,34th Avenue,79th Street,80th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Fresh Air Fund,Queens,34th Avenue,92nd Street,94th Street,Open Streets Play,2020-07-24T00:00:00.000,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,10:00AM,4:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",inactive,
Crocheron Park,Queens,35th Avenue,Corbett Road,Dead End,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Park Slope 5th Avenue Business Improvement District,Brooklyn,5th Avenue,8th Street,5th Street,Temporary Full Closure,2020-10-02T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,N/A,N/A,S,inactive,
Forest Hills Chamber of Commerce,Queens,70th Road,Austin Street,Queens Boulevard,Temporary Full Closure,2020-07-17T00:00:00.000,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,Inactive,
Dome Playground,Brooklyn,38th Street,Dahill Road,15th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Sunnyside Woodside Open Streets,Queens,39th Avenue,45th Street,Woodside Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,Active,
Bayside Village Business Improvement District,Queens,41st Avenue,Bell Boulevard,214th Place,Temporary Full Closure,2021-03-12T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30PM,11:00PM,N/A,N/A,N/A,N/A,F,Active,
